agentId,community_id
6996,2
19297,2
16233,2
23419,2
25477,2
16272,2
16275,2
24198,2
24199,2
24200,2
23469,2
23476,2
16310,2
23481,2
23482,2
23483,2
23484,2
12267,2
23532,2
12276,2
23548,2
23550,2
1,3
2,3
3,3
100,3
1378,3
1380,3
13633,3
200,3
182,3
25459,4
25460,4
25461,4
25462,4
25463,4
25464,4
25465,4
25466,4
11010,5
10110,5
